ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,member_casual,ride_length,day_of_week
E5523AD413EB04E9,electric_bike,2022-01-01 14:13:42.000000 UTC,2022-01-01 14:20:57.000000 UTC,Canal St & Taylor St,Loomis St & Lexington St,member,0-0 0 0:7:15,Saturday
9DD205D613447C00,electric_bike,2022-01-01 14:20:28.000000 UTC,2022-01-01 14:28:12.000000 UTC,Canal St & Taylor St,Canal St & Taylor St,casual,0-0 0 0:7:44,Saturday
03D2139811EE4060,electric_bike,2022-01-01 15:15:56.000000 UTC,2022-01-01 15:23:09.000000 UTC,Canal St & Taylor St,Aberdeen St & Jackson Blvd,casual,0-0 0 0:7:13,Saturday
23E58AD62AEFB712,electric_bike,2022-01-01 16:55:33.000000 UTC,2022-01-01 17:03:02.000000 UTC,Canal St & Taylor St,Clinton St & Madison St,member,0-0 0 0:7:29,Saturday
A7447C030AAA956A,electric_bike,2022-01-01 17:38:37.000000 UTC,2022-01-01 17:46:14.000000 UTC,Canal St & Taylor St,None given,member,0-0 0 0:7:37,Saturday
172CE2A17F0FA9A6,classic_bike,2022-01-02 15:17:37.000000 UTC,2022-01-02 16:06:44.000000 UTC,Canal St & Taylor St,Wells St & Evergreen Ave,casual,0-0 0 0:49:7,Sunday
0B01E3862817ACF7,electric_bike,2022-01-02 22:39:45.000000 UTC,2022-01-02 22:45:35.000000 UTC,Canal St & Taylor St,Clinton St & Madison St,member,0-0 0 0:5:50,Sunday
FEDAA97731F20A6F,classic_bike,2022-01-03 08:12:28.000000 UTC,2022-01-03 08:14:56.000000 UTC,Canal St & Taylor St,Canal St & Harrison St,member,0-0 0 0:2:28,Monday
79E5F93B03D642FE,classic_bike,2022-01-03 15:37:02.000000 UTC,2022-01-03 15:44:24.000000 UTC,Canal St & Taylor St,Clinton St & 18th St,member,0-0 0 0:7:22,Monday
11232884AE626DAC,classic_bike,2022-01-03 16:09:15.000000 UTC,2022-01-03 16:17:28.000000 UTC,Canal St & Taylor St,Desplaines St & Randolph St,member,0-0 0 0:8:13,Monday
DDDA1F4DB6D2A9FF,electric_bike,2022-01-03 16:14:18.000000 UTC,2022-01-03 16:21:51.000000 UTC,Canal St & Taylor St,Dearborn St & Adams St,member,0-0 0 0:7:33,Monday
5D3C65A35DC0ECDE,classic_bike,2022-01-03 16:40:35.000000 UTC,2022-01-03 17:08:20.000000 UTC,Canal St & Taylor St,Halsted St & North Branch St,member,0-0 0 0:27:45,Monday
061A2787D57F800A,electric_bike,2022-01-03 20:21:04.000000 UTC,2022-01-03 20:25:43.000000 UTC,Canal St & Taylor St,Dearborn St & Van Buren St,member,0-0 0 0:4:39,Monday
1FFDD1DFFA0152AC,electric_bike,2022-01-04 08:28:17.000000 UTC,2022-01-04 08:30:49.000000 UTC,Canal St & Taylor St,Canal St & Jackson Blvd,member,0-0 0 0:2:32,Tuesday
E15D130398766F3A,electric_bike,2022-01-04 08:28:40.000000 UTC,2022-01-04 08:36:16.000000 UTC,Canal St & Taylor St,LaSalle St & Adams St,member,0-0 0 0:7:36,Tuesday
D565EB1A1D6675D0,classic_bike,2022-01-04 08:54:10.000000 UTC,2022-01-04 08:56:35.000000 UTC,Canal St & Taylor St,Canal St & Harrison St,member,0-0 0 0:2:25,Tuesday
B4AC755B73F96157,electric_bike,2022-01-04 10:02:28.000000 UTC,2022-01-04 10:15:22.000000 UTC,Canal St & Taylor St,Calumet Ave & 21st St,member,0-0 0 0:12:54,Tuesday
D7BC3A737EC124BB,electric_bike,2022-01-04 12:54:31.000000 UTC,2022-01-04 13:05:40.000000 UTC,Canal St & Taylor St,Daley Center Plaza,member,0-0 0 0:11:9,Tuesday
EA29DC6894B89A8A,electric_bike,2022-01-04 13:50:40.000000 UTC,2022-01-04 13:57:49.000000 UTC,Canal St & Taylor St,Normal Ave & Archer Ave,member,0-0 0 0:7:9,Tuesday
F3FF735ECEC3446B,electric_bike,2022-01-04 14:36:27.000000 UTC,2022-01-04 14:50:22.000000 UTC,Canal St & Taylor St,Clark St & Elm St,member,0-0 0 0:13:55,Tuesday
0723B2AA4923C2A9,classic_bike,2022-01-04 16:31:31.000000 UTC,2022-01-04 16:39:34.000000 UTC,Canal St & Taylor St,Clinton St & Washington Blvd,member,0-0 0 0:8:3,Tuesday
EFBD9FF6E6DAEB9D,classic_bike,2022-01-04 17:40:44.000000 UTC,2022-01-04 17:53:34.000000 UTC,Canal St & Taylor St,Dearborn St & Van Buren St,member,0-0 0 0:12:50,Tuesday
